bin,characteristic,x_mean,n,speed_z_mean,quality_z_mean,lm_aioe_z_mean
17,mean_asian,0.11757427886609108,31,1.2299465299122876,-0.05173582380738862,1.328562
18,mean_asian,0.129101199488486,31,0.8378668360837732,-0.15363300481861888,0.7973783
19,mean_asian,0.22034609125506494,31,0.11541890805400819,0.011237397744604215,0.2518808
0,mean_hispanic,0.04359589907671175,31,0.24672573389476543,0.17374449848294915,0.33456478
1,mean_hispanic,0.05732452929500611,31,0.18494194484927967,0.02300230639246919,0.29698747
2,mean_hispanic,0.06436288392832203,31,0.28815457806413247,0.7432692779926635,0.44682282
3,mean_hispanic,0.06755443662405014,30,1.4373214816032518,-0.1962763266258304,1.5041136
4,mean_hispanic,0.07313414446769222,31,0.39643316373127485,0.07240116258642838,0.5331344
5,mean_hispanic,0.08180886939648659,31,0.571636713491144,0.02206661775146942,0.7121124
6,mean_hispanic,0.08882848545908928,30,0.8079699532577085,-0.3369926607950879,0.56222814
7,mean_hispanic,0.09431817815188438,31,0.30389852252857985,0.006380072887649395,0.41316205
8,mean_hispanic,0.09997631465235064,31,0.5228143561910937,-0.2497887728084203,0.2890257
9,mean_hispanic,0.10566161308557756,31,-0.16745628022637796,0.04772335754627858,-0.20214842
10,mean_hispanic,0.10984502509236335,30,0.2706089077917678,-0.07483357311300978,0.30203173
11,mean_hispanic,0.11690598269624095,31,-0.22315509864456218,0.09931597114224568,-0.20337662
12,mean_hispanic,0.12475768188315053,31,0.019828348931421026,0.07893722294635337,0.05419633
13,mean_hispanic,0.13384002099434536,30,-0.18425368544594292,-0.08660673783711882,-0.30243152
14,mean_hispanic,0.1484325042655391,31,-0.10558362932421901,-0.12651523438846696,-0.19504784
15,mean_hispanic,0.161694981398121,31,-0.20021220718444968,-0.07788694531062534,-0.24389938
16,mean_hispanic,0.1759471118450165,30,-0.4525492951249402,0.0038248172900956627,-0.4919776
17,mean_hispanic,0.1982682034853966,31,-0.7543676613654862,-0.07912535674724265,-0.8993802
18,mean_hispanic,0.23945318643123872,31,-0.8263969125021603,0.01961731513238173,-0.92731535
19,mean_hispanic,0.34879776258622447,31,-1.228476148399907,-0.12374944884668819,-1.3229816
